Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,New_Item_type,Outlet_Age,Item_Age,Visibility_Avg,Visibility_Ratio,Item_MRP_Log,Item_Weight_x_Item_Visibility,Item_Weight_x_Outlet_Age,MRP_x_Visibility,Visibility_x_Size,Visibility_x_Tier,Visibility_x_OutletType
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,FOOD,14,1964.0,0.07771102133333332,0.890431946624268,4.013882600006993,0.6227673840000001,126.0,3.7616118742864004,0.138392752,0.069196376,0.069196376
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,Drinks,28,2002.0,0.04141927457142857,0.8266123043984333,4.73868132840758,0.28280325332,231.28,3.8785610250788,0.068475364,0.102713046,0.102713046
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,FOOD,9,2011.0,0.11362798071428572,0.901997196075441,5.444731913803433,1.3682698020000001,120.14999999999999,23.628041382624,0.10249212,0.20498424,0.10249212
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,FOOD,26,1991.0,0.138683147,0.9964460714177477,5.528922610067024,2.60488672145,490.1,34.6681264476548,0.41457083100000003,0.41457083100000003,0.138190277
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,FOOD,28,2001.0,0.03901434814285714,0.9073565158740483,4.980481194700515,0.29435035974499996,232.82,5.1168606300812,0.070799846,0.106199769,0.106199769
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,Non-Consumable,9,1983.0,0.030928842142857144,0.8308792770612932,5.285781115082301,0.3751927564,131.4,5.0498991953256,0.025698134,0.051396268,0.025698134
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,FOOD,28,1976.0,0.04110915266666667,1.4001017843082437,4.68853475478196,0.892133469,434.0,6.198531831212399,0.057556998,0.057556998,0.0
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,FOOD,16,1985.0,0.0259539524,0.9977857938893345,5.112114286379427,0.35866631725,221.6,4.273463851184999,0.025896485,0.025896485,0.025896485
NCD06,13.0,Low Fat,0.099887103,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,Non-Consumable,6,2007.0,0.09953291880000001,1.0035584629112675,3.8481455990393854,1.298532339,78.0,4.585417350318,0.099887103,0.199774206,0.099887103
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,FOOD,9,2003.0,0.083523496,0.7984991073649502,3.7684112620696655,0.509871325865,68.80499999999999,2.8218793515944,0.066693437,0.133386874,0.066693437
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,Drinks,26,1954.0,0.0219934952,0.8800843987725971,3.6917852282601076,0.22549893780000002,302.90000000000003,0.7571422017648001,0.05806839600000001,0.05806839600000001,0.019356132
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,FOOD,15,1962.0,0.1160978602857143,1.390779585451742,3.839637241729423,0.95668921395,88.875,7.3481159091923995,0.161466534,0.484399602,0.0
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,FOOD,28,1999.0,0.04965328971428571,1.4545219745877407,3.7987512784989836,1.0472161145,406.0,3.1521493933654003,0.072221801,0.072221801,0.0
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,FOOD,15,1975.0,0.11796849266666667,1.4440173570865154,4.039458857937822,3.27920960675,288.75,9.5046996121756,0.170348551,0.5110456529999999,0.0
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,Non-Consumable,4,1996.0,0.0805917654,1.002948273918814,4.579273749091915,1.5034263192000001,74.4,7.7954756214192,0.161658744,0.24248811599999998,0.161658744
FDP33,18.7,Low Fat,0.1026783142,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,FOOD,4,1980.0,0.10267831420000001,0.9999999999999999,5.551668829774868,1.92008447554,74.8,26.354155406434238,0.2053566284,0.3080349426,0.2053566284
FDO23,17.85,Low Fat,0.16484637650000003,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028,FOOD,11,1990.0,0.1605425877914286,1.026807769625358,4.544821276159613,2.942507820525001,196.35000000000002,15.354384954165404,0.16484637650000003,0.32969275300000006,0.16484637650000003
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,Drinks,16,2012.0,0.1126623328,0.8690040989458369,5.169766692383558,1.7133205075,280.0,17.1208495865402,0.097904029,0.097904029,0.097904029
NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,Non-Consumable,14,1984.0,0.10512068025,0.8494155173620084,4.99525224605606,0.8929113700000001,140.0,13.0999205674974,0.178582274,0.089291137,0.089291137
FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,FOOD,28,1993.0,0.07197039371428571,0.8268929615176921,4.860337847687495,1.2021386023999998,565.6,7.6215468368536,0.119023624,0.178535436,0.178535436
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,Drinks,4,2002.0,0.11280836683333334,1.0027970103240023,4.816555276767445,1.00114645305,35.4,13.8620660995484,0.226247786,0.339371679,0.226247786
FDX10,6.385000000000001,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,FOOD,28,2003.0,0.1237984195,0.9944509267341656,3.6372545257945634,0.7860666274050001,178.78000000000003,4.5535725566922,0.246222906,0.369334359,0.369334359
FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,FOOD,28,1979.0,0.029202658142857142,0.9067994382722705,4.484355308941895,0.4038345485,427.0,2.3202558932892,0.052961908,0.079442862,0.079442862
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,FOOD,16,2011.0,0.11362798071428572,0.9021677878599482,5.445163720333185,1.3685285784,213.6,23.6427612273408,0.102511504,0.102511504,0.102511504
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,FOOD,26,1970.0,0.030255589166666666,0.886395893739413,4.844202834366088,0.262820614,254.8,3.37917581686,0.08045529,0.08045529,0.02681843
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,FOOD,14,1967.0,0.11770163299999999,1.0009916175079747,5.267412699035999,1.6023295328,190.4,22.7287616587328,0.235636696,0.117818348,0.117818348
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,FOOD,4,2011.0,0.076530649,0.9029432247464673,5.564243740701523,1.4753454418500003,85.4,17.9617468356018,0.138205662,0.207308493,0.138205662
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,FOOD,26,1963.0,0.04242364825,0.9965636795510625,4.8481524423790425,0.51367608405,315.90000000000003,5.3483446536882,0.126833601,0.126833601,0.042277867
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,358.2004,FOOD,15,1974.0,0.060675818400000005,1.4750345089700512,5.187945425760627,0.5745831049200001,96.3,15.939776620385201,0.089498926,0.26849677800000005,0.0
NCP05,19.6,Low Fat,0.02813543066666667,Health and Hygiene,153.3024,OUT045,2002,Small,Tier 2,Supermarket Type1,2428.8384,Non-Consumable,11,2008.0,0.02813543066666667,1.0,5.038914313363511,0.5514544410666667,215.60000000000002,4.313229046233601,0.02813543066666667,0.05627086133333334,0.02813543066666667
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Small,Tier 2,Supermarket Type1,5815.0972,FOOD,11,1964.0,0.025838496833333335,1.001589882218445,5.584332800929833,0.25879577,110.0,6.8638486988402,0.025879577,0.051759154,0.025879577
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,FOOD,16,2001.0,0.1397561692,0.8703209432274565,4.121018949636287,1.92787862785,253.6,7.373618812462,0.121632721,0.121632721,0.121632721
FDS02,10.195,Regular,0.2262488690400001,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,FOOD,28,2011.0,0.167682996608,1.3492654211620045,5.287657754214219,2.306607219862801,285.46000000000004,44.5437415872738,0.2262488690400001,0.2262488690400001,0.0
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,Non-Consumable,16,1996.0,0.067941382,0.9976204487568417,4.975914096257587,0.50089207168,118.24,9.752226298214401,0.067779712,0.067779712,0.067779712
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,FOOD,26,1973.0,0.1598704005,0.9995837409564755,4.959450064044983,1.629200281335,265.07,22.6147061788362,0.479411559,0.479411559,0.159803853
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,FOOD,26,2000.0,0.028766748999999998,0.9975729965176114,4.771101486719063,0.28395614214,257.27,3.3589529330544003,0.086090796,0.086090796,0.028696932
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Small,Tier 2,Supermarket Type1,3121.2704,FOOD,6,1970.0,0.0734438434,0.8855960961324091,5.285127764917577,0.708628024995,65.37,12.7728266518314,0.065041581,0.130083162,0.065041581
NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,2007,Small,Tier 2,Supermarket Type1,4815.0656,Non-Consumable,6,1995.0,0.028632081857142857,1.0044681048166684,5.026973102303874,0.34943415795000005,72.9,4.3563021771204005,0.028760013,0.057520026,0.028760013
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,FOOD,4,1992.0,0.010985559142857143,0.9151200106675108,5.521624104546575,0.079469795025,31.62,2.5036333116839997,0.02010621,0.030159315,0.02010621
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Small,Tier 2,Supermarket Type1,2117.244,Non-Consumable,11,1959.0,0.05271483,0.9135444048667141,4.674343574514195,0.44280672291,101.14500000000001,5.1124889482236,0.048157338,0.096314676,0.048157338
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,Drinks,14,1978.0,0.084678938375,0.84977679669688,3.6648582410844295,0.6019303179050001,117.11,2.7380525707682004,0.143916394,0.071958197,0.071958197
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,FOOD,16,1992.0,0.19300900384,0.8988249281044526,5.275616643827204,2.6195676904,241.6,33.744021922344,0.173481304,0.173481304,0.173481304
FDI26,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,FOOD,28,1987.0,0.038670216285714286,1.5795664691579507,5.198687068456234,0.36282813138000003,166.32000000000002,10.9968930868888,0.061082177,0.061082177,0.0
FDM20,10.0,Low Fat,0.03874801133333333,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,FOOD,4,1993.0,0.03874801133333333,1.0,5.5130835252927906,0.3874801133333333,40.0,9.5674419695632,0.07749602266666666,0.116244034,0.07749602266666666
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168,FOOD,11,1986.0,0.05010158066666667,0.7997977402469444,4.481322044706937,0.31936691407,87.67,3.5002693924334003,0.040071131,0.080142262,0.040071131
FDF09,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,FOOD,28,2004.0,0.012152534666666666,0.9948602766106077,3.670837675613171,0.07513980991,174.01999999999998,0.46286606507519995,0.024180148,0.036270222,0.036270222
FDY40,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,FOOD,28,1973.0,0.10634331316666668,1.413215232108333,3.9525736031236143,2.329432845,434.0,7.674985280508,0.15028599,0.15028599,0.0
FDY45,17.5,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,FOOD,28,1968.0,0.026186399600000004,0.9934744522878203,5.548436191491144,0.4552715825,490.0,6.6556959126764,0.052031038,0.078046557,0.078046557
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,FOOD,15,1967.0,0.12778287885714285,1.526559956581351,5.228037595932924,3.4527076002,265.5,36.17083791521161,0.195068226,0.585204678,0.0
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,FOOD,9,1994.0,0.036656057285714284,0.9025033636908054,5.156602869177444,0.64014086025,174.15,5.709123554967,0.033082215,0.06616443,0.033082215
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.544,FOOD,11,2010.0,0.09212875875,0.8569143454350513,5.231236950865415,1.07761911075,150.15,14.685935344919999,0.078946455,0.15789291,0.078946455
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,Drinks,11,1976.0,0.04688144216666667,0.8894938822861084,5.111099442086582,0.7339333056,193.60000000000002,6.874478048565599,0.041700756,0.083401512,0.041700756
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,Non-Consumable,16,1996.0,0.14356805683333332,0.9989871435433431,4.573070458327983,1.2398887487349999,138.32,13.745769527762999,0.143422643,0.143422643,0.143422643
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,FOOD,16,1955.0,0.124098424625,0.8484883858774449,5.142694603738103,1.6426187232,249.6,17.9189064671008,0.105296072,0.105296072,0.105296072
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,FOOD,26,2001.0,0.1397561692,0.8695966818186084,4.0980377340597185,1.92627429085,412.09999999999997,7.197338552222,0.364594503,0.364594503,0.121531501
FDH35,18.25,Low Fat,0.068386192,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728,FOOD,11,1978.0,0.068386192,1.0,5.110496315217453,1.248048004,200.75,11.2668029360992,0.068386192,0.136772384,0.068386192
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256,FOOD,6,2011.0,0.0129633086,0.8736089180195864,5.250275622242576,0.08895679101000001,47.13,2.1474067426056,0.011324862,0.022649724,0.011324862
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,Non-Consumable,14,1995.0,0.19536607338666667,0.953886950633254,5.542712690718041,1.4582446831,109.55,47.4036304653304,0.372714296,0.186357148,0.186357148
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,FOOD,16,1984.0,0.024224406,0.9992261936164709,4.745085160131553,0.20308549579000001,134.24,2.7598713736336,0.024205661,0.024205661,0.024205661
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,FOOD,14,2003.0,0.03674677314285714,0.9043192954878387,5.155267675445204,0.42701598560000004,179.9,5.7270719372352,0.066461632,0.033230816,0.033230816
FDN48,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,FOOD,28,1965.0,0.0747185518,1.5219827105910262,4.510644098702868,1.5181665924,373.8,10.2326020412576,0.113720344,0.113720344,0.0
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,FOOD,6,2009.0,0.11194855516666667,1.0054306358168554,4.663082426740236,2.138573633,114.0,11.8141785990354,0.112556507,0.225113014,0.112556507
FDV25,5.905,Low Fat,0.054276717,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944,FOOD,11,1988.0,0.05427671700000001,0.9999999999999999,5.409615420088615,0.32050401388500005,64.955,12.079044550795201,0.054276717,0.108553434,0.054276717
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,FOOD,16,1955.0,0.06683014150000001,0.8881058706122894,4.6334660551429385,0.46057339016,124.16,6.04621279067,0.059352241,0.059352241,0.059352241
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,FOOD,16,2009.0,0.014101339666666667,0.9989871411508207,5.200342840523473,0.1662272726,188.8,2.5403809718607997,0.014087057,0.014087057,0.014087057
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,FOOD,4,1968.0,0.04989230771428571,0.9065714951294783,5.241512066826547,0.7576183120000001,67.0,8.501409218086401,0.090461888,0.135692832,0.090461888
NCL18,18.85,Low Fat,0.2262488690400001,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,Non-Consumable,28,1995.0,0.17621031414857144,1.2839706355056988,5.276141284835995,4.264791181404003,527.8000000000001,44.031106899802964,0.2262488690400001,0.2262488690400001,0.0
FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,FOOD,28,2001.0,0.0355131465,0.8836739937983247,5.149680457907895,0.3954137544,352.8,5.3781417253615995,0.062764088,0.094146132,0.094146132
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392,FOOD,6,1993.0,0.1429210632,0.8843963035953681,5.181799280505444,1.95918233,93.0,22.372952136808003,0.12639886,0.25279772,0.12639886
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,FOOD,9,1958.0,0.025437187166666667,0.9986913188770223,5.087546951296968,0.15382060239,54.495,4.089824346816,0.025403898,0.050807796,0.025403898
FDQ49,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,FOOD,28,1964.0,0.045141588999999996,0.8652260114281756,5.056010108784246,0.7889650753999999,565.6,6.091552477951,0.078115354,0.117173031,0.117173031
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,FOOD,16,1980.0,0.1229889555,1.0010310559959184,4.571029985148308,0.77624489202,100.88,11.7752348857104,0.123115764,0.123115764,0.123115764
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,FOOD,14,1986.0,0.039516645,1.0027168551378793,4.773061458573172,0.8261605251000002,291.90000000000003,4.647135122884801,0.079248012,0.039624006,0.039624006
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Small,Tier 3,Grocery Store,369.519,FOOD,15,1993.0,0.028181967750000002,1.4342927846122455,4.813589871237112,0.8387397547500001,311.25,4.938378412389,0.040421193,0.12126357900000001,0.0
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,Drinks,14,1986.0,0.12493597875,0.8426244549671006,3.7114674144523305,0.9364132173449999,124.53,4.2018898116318,0.210548222,0.105274111,0.105274111
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,Drinks,11,1988.0,0.03718193671428571,0.9136209138602582,4.028229688181768,0.6658158220000001,215.60000000000002,1.8738435144730001,0.033970195,0.06794039,0.033970195
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,FOOD,9,1969.0,0.057754922,0.921352677093045,4.075722238094006,1.0482892444,177.29999999999998,3.080640062236,0.053212652,0.106425304,0.053212652
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,Non-Consumable,9,1996.0,0.02440727033333333,0.9988296793150883,4.749696413286643,0.23891131880000002,88.2,2.7925612693352,0.024378706,0.048757412,0.024378706
FDU04,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,FOOD,28,2009.0,0.0069396810000000005,1.3998618956692677,4.796132635837532,0.07703673835,222.04,1.166153584233,0.009714595,0.009714595,0.0
